"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,570,2015,859,2015,5193,2015,1075,2015,15127,2015,7709,2015,13971,2015,7912,2015,4375,2015,12535,2015,853,2015,473,2015,4050,2015,2000,2015,44702,2015,91129,2015,0,2015,36,2015,38756,2015,164847,2015,23492,2015,39648,2015,119481,2015,79370
2014,570,2014,859,2014,5193,2014,1075,2014,15364,2014,8579,2014,15216,2014,5216,2014,3449,2014,9150,2014,816,2014,411,2014,3078,2014,2139,2014,36786,2014,92162,2014,0,2014,23,2014,38542,2014,160117,2014,30706,2014,41468,2014,105932,2014,80752
2013,570,2013,859,2013,5193,2013,1075,2013,16477,2013,9460,2013,13539,2013,4877,2013,2224,2013,4694,2013,765,2013,343,2013,3069,2013,1955,2013,26711,2013,78797,2013,0,2013,26,2013,38118,2013,147381,2013,31179,2013,40038,2013,104309,2013,73024
2012,570,2012,859,2012,5193,2012,1075,2012,15764,2012,8683,2012,11484,2012,5339,2012,1432,2012,2526,2012,752,2012,299,2012,3061,2012,853,2012,10769,2012,77805,2012,36,2012,22,2012,36618,2012,148418,2012,28021,2012,37034,2012,97577,2012,73302
2011,532,2011,962,2011,5088,2011,1003,2011,24748,2011,11161,2011,13188,2011,7250,2011,556,2011,1063,2011,568,2011,243,2011,2630,2011,596,2011,4435,2011,65347,2011,127,2011,8,2011,37771,2011,161885,2011,29211,2011,39324,2011,101056,2011,74371
2010,548,2010,764,2010,4898,2010,1035,2010,16267,2010,9720,2010,12200,2010,8199,2010,214,2010,683,2010,466,2010,229,2010,15,2010,215,2010,3515,2010,46748,2010,57,2010,7,2010,37956,2010,155424,2010,31585,2010,39258,2010,89397,2010,79438
2009,486,2009,677,2009,4347,2009,918,2009,18434,2009,11723,2009,13390,2009,7897,2009,136,2009,446,2009,432,2009,203,2009,0,2009,58,2009,2930,2009,49317,2009,0,2009,2,2009,30044,2009,135011,2009,29357,2009,36430,2009,80514,2009,69500
2008,390,2008,585,2008,3530,2008,736,2008,19453,2008,11389,2008,13445,2008,7164,2008,103,2008,337,2008,408,2008,189,2008,0,2008,36,2008,1391,2008,42910,2008,160,2008,0,2008,32736,2008,103316,2008,24729,2008,30389,2008,94800,2008,64657
2007,327,2007,540,2007,3014,2007,617,2007,16331,2007,7882,2007,12553,2007,6462,2007,80,2007,270,2007,405,2007,147,2007,0,2007,0,2007,27,2007,26082,2007,36,2007,0,2007,26746,2007,88276,2007,24099,2007,29547,2007,90309,2007,63468
2006,270,2006,505,2006,2552,2006,510,2006,20872,2006,15004,2006,15080,2006,5671,2006,74,2006,226,2006,335,2006,147,2006,0,2006,0,2006,22,2006,20383,2006,0,2006,0,2006,10971,2006,84697,2006,24378,2006,29821,2006,88151,2006,53521
