"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,112878,2015,759,2015,21,2015,430,2015,128681,2015,15098,2015,2819,2015,0,2015,211839,2015,6270,2015,2952,2015,1230,2015,113967,2015,69662,2015,0,2015,48,2015,30409,2015,19718,2015,715,2015,0,2015,139561,2015,14936,2015,26728,2015,1809
2014,117226,2014,759,2014,21,2014,430,2014,157213,2014,16831,2014,4127,2014,0,2014,156459,2014,6045,2014,2239,2014,1189,2014,123559,2014,70076,2014,0,2014,48,2014,28813,2014,18905,2014,644,2014,0,2014,166794,2014,14228,2014,25645,2014,2558
2013,119556,2013,759,2013,21,2013,430,2013,226643,2013,11572,2013,3835,2013,0,2013,84832,2013,5186,2013,1601,2013,1001,2013,122335,2013,68731,2013,0,2013,43,2013,23352,2013,19660,2013,716,2013,0,2013,165621,2013,13384,2013,23874,2013,2321
2012,121269,2012,759,2012,21,2012,430,2012,255384,2012,14247,2012,2970,2012,0,2012,53911,2012,3886,2012,1295,2012,607,2012,92821,2012,56798,2012,0,2012,35,2012,21871,2012,19504,2012,169,2012,0,2012,156083,2012,10433,2012,22455,2012,2509
2011,124092,2011,741,2011,19,2011,401,2011,413488,2011,20235,2011,5513,2011,0,2011,41816,2011,2865,2011,1189,2011,383,2011,75317,2011,50526,2011,0,2011,47,2011,22325,2011,19657,2011,182,2011,0,2011,157792,2011,12226,2011,23856,2011,3340
2010,124981,2010,721,2010,20,2010,414,2010,326152,2010,15398,2010,3811,2010,0,2010,36006,2010,1808,2010,1137,2010,125,2010,59303,2010,33676,2010,0,2010,25,2010,8641,2010,19362,2010,56,2010,0,2010,159402,2010,12612,2010,25334,2010,3275
2009,127461,2009,697,2009,17,2009,367,2009,272187,2009,18405,2009,4973,2009,0,2009,31297,2009,1148,2009,1062,2009,85,2009,56997,2009,30879,2009,0,2009,0,2009,7244,2009,17164,2009,98,2009,0,2009,152041,2009,11824,2009,23378,2009,3125
2008,129143,2008,702,2008,14,2008,294,2008,237755,2008,20096,2008,5481,2008,0,2008,29985,2008,819,2008,929,2008,50,2008,53063,2008,31738,2008,0,2008,0,2008,13743,2008,17014,2008,107,2008,0,2008,140810,2008,9702,2008,19828,2008,2607
2007,130592,2007,621,2007,11,2007,247,2007,270107,2007,17095,2007,3590,2007,0,2007,25804,2007,308,2007,773,2007,44,2007,55201,2007,12765,2007,0,2007,0,2007,12847,2007,14655,2007,145,2007,0,2007,137807,2007,8702,2007,19510,2007,1240
2006,129319,2006,603,2006,9,2006,204,2006,476582,2006,17767,2006,5395,2006,0,2006,23341,2006,232,2006,654,2006,22,2006,48433,2006,8585,2006,0,2006,0,2006,5898,2006,10346,2006,71,2006,0,2006,138797,2006,7925,2006,19571,2006,646
2005,132375,2005,605,2005,8,2005,176,2005,396279,2005,14152,2005,4782,2005,0,2005,22115,2005,206,2005,556,2005,11,2005,42618,2005,7762,2005,0,2005,0,2005,2496,2005,1534,2005,0,2005,0,2005,145608,2005,8725,2005,20382,2005,767
2004,133248,2004,562,2004,7,2004,154,2004,341956,2004,11966,2004,4634,2004,0,2004,22216,2004,193,2004,454,2004,12,2004,43128,2004,2205,2004,0,2004,0,2004,1263,2004,206,2004,0,2004,0,2004,155751,2004,7338,2004,25094,2004,1270
2003,133310,2003,538,2003,7,2003,142,2003,368253,2003,12780,2003,5715,2003,0,2003,21857,2003,199,2003,403,2003,13,2003,39441,2003,1489,2003,0,2003,0,2003,1313,2003,232,2003,0,2003,0,2003,155300,2003,6643,2003,25105,2003,1246
2002,135221,2002,582,2002,5,2002,109,2002,316794,2002,12299,2002,3409,2002,0,2002,22418,2002,205,2002,365,2002,16,2002,38684,2002,1414,2002,0,2002,0,2002,1109,2002,202,2002,0,2002,0,2002,162059,2002,6380,2002,24535,2002,1190
2001,128077,2001,579,2001,5,2001,100,2001,263923,2001,15445,2001,2959,2001,0,2001,22960,2001,212,2001,303,2001,17,2001,36163,2001,503,2001,0,2001,0,2001,777,2001,151,2001,0,2001,0,2001,156150,2001,6837,2001,26546,2001,1207
2000,127600,2000,578,2000,5,2000,89,2000,391043,2000,14836,2000,5369,2000,0,2000,23073,2000,221,2000,260,2000,20,2000,35887,2000,0,2000,0,2000,0,2000,691,2000,141,2000,0,2000,0,2000,158300,2000,11300,2000,44944,2000,2181
1999,135325,1999,562,1999,5,1999,89,1999,416573,1999,15978,1999,4315,1999,0,1999,23925,1999,231,1999,264,1999,23,1999,33029,1999,0,1999,0,1999,0,1999,576,1999,120,1999,0,1999,0,1999,150581,1999,11148,1999,44706,1999,1889
1998,133436,1998,412,1998,0,1998,79,1998,505243,1998,14908,1998,4571,1998,0,1998,24497,1998,233,1998,231,1998,24,1998,28122,1998,0,1998,0,1998,0,1998,620,1998,132,1998,0,1998,0,1998,141059,1998,10577,1998,44385,1998,1833
1997,132211,1997,411,1997,0,1997,76,1997,419290,1997,20751,1997,4562,1997,0,1997,24988,1997,230,1997,199,1997,26,1997,32037,1997,0,1997,0,1997,0,1997,526,1997,114,1997,0,1997,0,1997,151226,1997,11798,1997,45948,1997,2101
1996,129678,1996,409,1996,0,1996,71,1996,462729,1996,18823,1996,6472,1996,0,1996,25606,1996,227,1996,187,1996,27,1996,31836,1996,0,1996,0,1996,0,1996,298,1996,66,1996,0,1996,0,1996,167589,1996,10947,1996,49396,1996,2543
1995,120057,1995,407,1995,0,1995,67,1995,495318,1995,21977,1995,3752,1995,0,1995,25349,1995,217,1995,152,1995,28,1995,31831,1995,0,1995,0,1995,0,1995,725,1995,165,1995,0,1995,0,1995,172906,1995,10748,1995,42241,1995,2381
1994,142640,1994,406,1994,0,1994,63,1994,237398,1994,15928,1994,4964,1994,0,1994,25150,1994,208,1994,134,1994,29,1994,34942,1994,0,1994,0,1994,0,1994,754,1994,175,1994,0,1994,0,1994,192715,1994,10627,1994,35346,1994,2330
