"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,30535,2015,29,2015,466,2015,458,2015,21099,2015,11837,2015,89,2015,927,2015,18216,2015,292,2015,20966,2015,7257,2015,2886,2015,3947,2015,201,2015,19477,2015,0,2015,262,2015,1191,2015,0,2015,2632,2015,44976,2015,22292,2015,10692
2014,27499,2014,29,2014,466,2014,451,2014,22719,2014,13137,2014,164,2014,936,2014,11650,2014,206,2014,19679,2014,6234,2014,2854,2014,3914,2014,217,2014,21633,2014,42,2014,186,2014,0,2014,3097,2014,2753,2014,38066,2014,33562,2014,9345
2013,27022,2013,29,2013,466,2013,368,2013,25588,2013,13617,2013,174,2013,876,2013,8780,2013,169,2013,16749,2013,4715,2013,2390,2013,3713,2013,104,2013,20927,2013,42,2013,207,2013,0,2013,3469,2013,2711,2013,35169,2013,32052,2013,9301
2012,23886,2012,29,2012,466,2012,368,2012,23223,2012,11869,2012,102,2012,2120,2012,6079,2012,126,2012,14103,2012,3869,2012,1226,2012,1986,2012,110,2012,21181,2012,30,2012,144,2012,0,2012,2767,2012,2143,2012,30463,2012,28846,2012,7211
2011,22419,2011,27,2011,435,2011,442,2011,21284,2011,15592,2011,237,2011,1892,2011,4257,2011,96,2011,7854,2011,1712,2011,0,2011,642,2011,102,2011,20447,2011,46,2011,0,2011,0,2011,3167,2011,2272,2011,29775,2011,30246,2011,8360
2010,21631,2010,28,2010,448,2010,324,2010,21047,2010,14415,2010,177,2010,2117,2010,3376,2010,83,2010,4910,2010,383,2010,0,2010,738,2010,123,2010,17875,2010,16,2010,0,2010,0,2010,3444,2010,2869,2010,29882,2010,31634,2010,9537
2009,17323,2009,25,2009,398,2009,317,2009,24015,2009,16402,2009,313,2009,2645,2009,2837,2009,68,2009,3350,2009,208,2009,0,2009,610,2009,204,2009,15096,2009,19,2009,0,2009,0,2009,3777,2009,2536,2009,28264,2009,29599,2009,8957
2008,14997,2008,20,2008,319,2008,348,2008,17251,2008,16094,2008,254,2008,3077,2008,2649,2008,60,2008,2631,2008,185,2008,0,2008,102,2008,206,2008,16188,2008,30,2008,0,2008,267,2008,3083,2008,2957,2008,23608,2008,19772,2008,12485
2007,13682,2007,16,2007,268,2007,732,2007,19800,2007,12506,2007,207,2007,2649,2007,1484,2007,52,2007,2241,2007,165,2007,0,2007,0,2007,202,2007,13771,2007,41,2007,0,2007,363,2007,4225,2007,2730,2007,22231,2007,17502,2007,11222
2006,14606,2006,13,2006,221,2006,697,2006,20410,2006,15165,2006,351,2006,1966,2006,801,2006,46,2006,1926,2006,174,2006,0,2006,0,2006,159,2006,12453,2006,40,2006,0,2006,357,2006,3963,2006,2499,2006,17879,2006,19098,2006,10131
2005,13910,2005,11,2005,191,2005,690,2005,17022,2005,17987,2005,311,2005,1650,2005,706,2005,40,2005,1629,2005,177,2005,0,2005,0,2005,0,2005,7946,2005,6,2005,0,2005,314,2005,2790,2005,2837,2005,23250,2005,17513,2005,10815
2004,14183,2004,10,2004,167,2004,618,2004,16177,2004,13179,2004,376,2004,1392,2004,607,2004,36,2004,1411,2004,239,2004,0,2004,0,2004,0,2004,5143,2004,0,2004,0,2004,146,2004,2061,2004,3355,2004,21698,2004,25145,2004,2873
2003,11926,2003,9,2003,153,2003,563,2003,17787,2003,13479,2003,394,2003,1728,2003,590,2003,25,2003,1205,2003,286,2003,0,2003,0,2003,0,2003,1850,2003,0,2003,0,2003,0,2003,2313,2003,3276,2003,16335,2003,24966,2003,2814
2002,12646,2002,7,2002,118,2002,748,2002,23068,2002,11607,2002,122,2002,2692,2002,574,2002,28,2002,954,2002,327,2002,0,2002,0,2002,0,2002,0,2002,0,2002,0,2002,0,2002,2010,2002,3134,2002,17254,2002,27507,2002,2914
2001,13566,2001,6,2001,108,2001,738,2001,25974,2001,10236,2001,186,2001,2452,2001,539,2001,31,2001,669,2001,371,2001,0,2001,0,2001,0,2001,0,2001,0,2001,0,2001,0,2001,1504,2001,3332,2001,19913,2001,28097,2001,2962
2000,15106,2000,5,2000,102,2000,688,2000,24783,2000,14559,2000,143,2000,2256,2000,478,2000,34,2000,643,2000,430,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000,1398,2000,4371,2000,24022,2000,39435,2000,4431
1999,15550,1999,5,1999,102,1999,644,1999,28916,1999,14432,1999,177,1999,2482,1999,431,1999,36,1999,651,1999,487,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,1187,1999,4084,1999,24434,1999,38965,1999,4165
1998,16523,1998,0,1998,90,1998,185,1998,32287,1998,16282,1998,211,1998,2411,1998,340,1998,38,1998,631,1998,519,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,1306,1998,3965,1998,24266,1998,37921,1998,4046
1997,17112,1997,0,1997,87,1997,176,1997,26421,1997,16561,1997,188,1997,2643,1997,259,1997,38,1997,587,1997,542,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,1131,1997,4488,1997,25682,1997,38457,1997,4534
1996,16950,1996,0,1996,81,1996,161,1996,22381,1996,19845,1996,197,1996,2187,1996,224,1996,39,1996,578,1996,575,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,653,1996,3555,1996,27749,1996,40401,1996,4011
1995,16921,1995,0,1995,77,1995,159,1995,20021,1995,14126,1995,113,1995,2722,1995,179,1995,40,1995,543,1995,585,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,1625,1995,3204,1995,25314,1995,42513,1995,3983
1994,16403,1994,0,1994,72,1994,145,1994,19352,1994,15075,1994,156,1994,2196,1994,135,1994,30,1994,519,1994,590,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,1727,1994,3201,1994,25252,1994,40712,1994,3944
1993,16787,1993,0,1993,78,1993,128,1993,20331,1993,14542,1993,196,1993,3029,1993,99,1993,28,1993,465,1993,584,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,1835,1993,3369,1993,27877,1993,36266,1993,4090
1992,13061,1992,0,1992,73,1992,125,1992,20536,1992,14413,1992,231,1992,2638,1992,95,1992,28,1992,445,1992,584,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,1687,1992,3136,1992,27770,1992,37870,1992,4221
1991,11222,1991,0,1991,68,1991,121,1991,24682,1991,16544,1991,225,1991,2474,1991,71,1991,27,1991,420,1991,581,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,1896,1991,2987,1991,24322,1991,35277,1991,4066
1990,8707,1990,0,1990,63,1990,117,1990,18048,1990,19567,1990,326,1990,2137,1990,62,1990,27,1990,400,1990,573,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,1622,1990,2850,1990,27230,1990,25351,1990,3888
1989,8328,1989,0,1989,57,1989,115,1989,19391,1989,13987,1989,-2542,1989,2423,1989,55,1989,26,1989,377,1989,554,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,1936,1989,2462,1989,26553,1989,36987,1989,4247
1988,0,1988,0,1988,0,1988,0,1988,21587,1988,11591,1988,-2257,1988,1036,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,2055,1988,2332,1988,24957,1988,44113,1988,5394
1987,0,1987,0,1987,0,1987,0,1987,26316,1987,10955,1987,-3220,1987,1711,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,2048,1987,2183,1987,24031,1987,41813,1987,5123
1986,0,1986,0,1986,0,1986,0,1986,47889,1986,13157,1986,-2989,1986,1738,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,1874,1986,4209,1986,25585,1986,44524,1986,8101
1985,0,1985,0,1985,0,1985,0,1985,45386,1985,11811,1985,-2550,1985,1336,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,1773,1985,4596,1985,21996,1985,52233,1985,7889
