Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,141,2015,186,2015,345,2015,808,2015,91902,2015,14621,2015,60906,2015,33261,2015,101,2015,3,2015,48229,2015,124,2015,0,2015,1488,2015,4213,2015,0,2015,1933,2015,21,2015,6555,2015,4429,2015,164877,2015,7488,2015,8659,2015,79217
2014,141,2014,186,2014,345,2014,808,2014,90030,2014,14633,2014,58185,2014,25104,2014,100,2014,3,2014,43566,2014,111,2014,0,2014,1445,2014,4452,2014,0,2014,2313,2014,0,2014,6139,2014,3449,2014,178169,2014,3522,2014,7563,2014,90358
2013,141,2013,186,2013,345,2013,808,2013,123071,2013,13696,2013,56432,2013,25329,2013,97,2013,3,2013,31405,2013,108,2013,0,2013,1386,2013,4291,2013,0,2013,3184,2013,0,2013,132,2013,4747,2013,187188,2013,3357,2013,6353,2013,90343
2012,141,2012,186,2012,345,2012,808,2012,70754,2012,14988,2012,63918,2012,20921,2012,78,2012,3,2012,18096,2012,100,2012,0,2012,356,2012,5059,2012,0,2012,142,2012,0,2012,4618,2012,2673,2012,171090,2012,2263,2012,5922,2012,89736
2011,135,2011,214,2011,345,2011,750,2011,86313,2011,13066,2011,89135,2011,28738,2011,71,2011,3,2011,7604,2011,85,2011,0,2011,121,2011,2483,2011,0,2011,0,2011,0,2011,6566,2011,3816,2011,169330,2011,2675,2011,6069,2011,91598
2010,138,2010,153,2010,339,2010,773,2010,84919,2010,13982,2010,64606,2010,35697,2010,68,2010,3,2010,4518,2010,80,2010,0,2010,123,2010,1316,2010,0,2010,0,2010,0,2010,6774,2010,1006,2010,157118,2010,2704,2010,7247,2010,88679
2009,126,2009,151,2009,329,2009,702,2009,122345,2009,12920,2009,62731,2009,40921,2009,62,2009,3,2009,3445,2009,59,2009,0,2009,69,2009,288,2009,0,2009,42,2009,0,2009,7771,2009,1490,2009,141954,2009,2543,2009,6335,2009,82522
2008,117,2008,130,2008,366,2008,572,2008,60466,2008,11547,2008,71795,2008,45923,2008,64,2008,2,2008,3112,2008,53,2008,0,2008,1,2008,0,2008,0,2008,622,2008,0,2008,7897,2008,1528,2008,172732,2008,1233,2008,13582,2008,76806
2007,98,2007,87,2007,302,2007,482,2007,40881,2007,12762,2007,65211,2007,31992,2007,63,2007,0,2007,2749,2007,53,2007,0,2007,10,2007,0,2007,0,2007,542,2007,0,2007,3894,2007,1001,2007,187119,2007,1177,2007,11095,2007,88207
2006,85,2006,87,2006,287,2006,401,2006,71930,2006,12137,2006,67379,2006,15380,2006,62,2006,0,2006,2661,2006,94,2006,0,2006,8,2006,0,2006,0,2006,0,2006,0,2006,0,2006,959,2006,194075,2006,1065,2006,10447,2006,84115
2005,78,2005,90,2005,283,2005,349,2005,101436,2005,14638,2005,64094,2005,30822,2005,53,2005,0,2005,2574,2005,90,2005,0,2005,6,2005,0,2005,0,2005,0,2005,0,2005,0,2005,211,2005,178033,2005,1133,2005,11383,2005,81190
2004,68,2004,88,2004,255,2004,306,2004,106432,2004,15004,2004,69843,2004,36493,2004,54,2004,0,2004,2672,2004,239,2004,0,2004,0,2004,0,2004,0,2004,0,2004,0,2004,0,2004,0,2004,184143,2004,3324,2004,8607,2004,75878
2003,62,2003,89,2003,235,2003,282,2003,128232,2003,16023,2003,71634,2003,26878,2003,68,2003,0,2003,2760,2003,367,2003,0,2003,0,2003,0,2003,0,2003,0,2003,0,2003,0,2003,0,2003,155066,2003,3261,2003,8451,2003,80378
2002,67,2002,86,2002,294,2002,228,2002,89775,2002,14643,2002,75557,2002,34953,2002,82,2002,0,2002,2877,2002,500,2002,0,2002,0,2002,0,2002,0,2002,0,2002,0,2002,0,2002,0,2002,162766,2002,3193,2002,8153,2002,72938
2001,65,2001,86,2001,287,2001,212,2001,86346,2001,13905,2001,78774,2001,26331,2001,97,2001,0,2001,3086,2001,642,2001,0,2001,10,2001,0,2001,0,2001,0,2001,0,2001,0,2001,0,2001,165015,2001,2973,2001,8366,2001,66816
2000,62,2000,86,2000,286,2000,192,2000,59346,2000,10220,2000,85221,2000,24181,2000,113,2000,0,2000,3344,2000,795,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000,203782,2000,1898,2000,11924,2000,83466
1999,62,1999,86,1999,286,1999,192,1999,79350,1999,8351,1999,99794,1999,27552,1999,127,1999,0,1999,3573,1999,931,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,0,1999,210656,1999,1775,1999,11223,1999,82147
1998,18,1998,51,1998,238,1998,152,1998,107730,1998,11353,1998,111863,1998,31781,1998,134,1998,0,1998,3713,1998,1033,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,0,1998,209183,1998,1886,1998,10834,1998,81960
1997,17,1997,51,1997,238,1997,147,1997,117660,1997,11224,1997,123060,1997,35906,1997,138,1997,1,1997,3792,1997,1108,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,0,1997,181859,1997,3719,1997,14517,1997,86884
1996,16,1996,51,1996,237,1996,138,1996,114587,1996,13089,1996,95276,1996,28921,1996,146,1996,1,1996,3861,1996,1189,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,0,1996,208622,1996,8046,1996,12790,1996,87769
1995,15,1995,51,1995,237,1995,131,1995,97980,1995,14149,1995,85470,1995,33181,1995,150,1995,1,1995,3844,1995,1230,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,0,1995,221956,1995,8305,1995,14380,1995,82933
1994,14,1994,51,1994,236,1994,123,1994,117903,1994,13879,1994,75982,1994,35721,1994,153,1994,1,1994,3836,1994,1259,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,0,1994,214463,1994,9656,1994,13459,1994,82478
1993,16,1993,51,1993,237,1993,133,1993,93134,1993,13433,1993,69040,1993,46486,1993,148,1993,1,1993,3794,1993,1272,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,174850,1993,7067,1993,13594,1993,85755
1992,15,1992,51,1992,237,1992,126,1992,106109,1992,9495,1992,68472,1992,34928,1992,148,1992,1,1992,3725,1992,1278,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,148742,1992,8753,1992,15095,1992,76255
1991,14,1991,51,1991,236,1991,117,1991,112268,1991,9352,1991,70292,1991,37016,1991,148,1991,1,1991,3661,1991,1278,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,143162,1991,7954,1991,14585,1991,71412
1990,13,1990,51,1990,236,1990,108,1990,107832,1990,10137,1990,77158,1990,38016,1990,138,1990,1,1990,3619,1990,1281,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,143683,1990,8169,1990,13741,1990,70592
1989,11,1989,51,1989,235,1989,98,1989,137211,1989,9102,1989,82171,1989,32176,1989,135,1989,1,1989,3471,1989,1250,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,165031,1989,9188,1989,15620,1989,86235
1988,0,1988,0,1988,0,1988,0,1988,55575,1988,9658,1988,80385,1988,28754,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,0,1988,157512,1988,3102,1988,18365,1988,63792
