Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2007,644,2007,354,2007,17,2007,7210,2007,14985,2007,12398,2007,4,2007,174,2007,43,2007,7461,2007,1080,2007,1656,2007,700,2007,40995,2007,18,2007,2305,2007,92442,2007,11891
2006,693,2006,292,2006,15,2006,8365,2006,16650,2006,15597,2006,4,2006,150,2006,40,2006,7529,2006,1006,2006,1723,2006,658,2006,29429,2006,0,2006,2102,2006,97098,2006,10893
2005,745,2005,252,2005,14,2005,8083,2005,17400,2005,14474,2005,3,2005,142,2005,38,2005,7172,2005,925,2005,1539,2005,657,2005,24175,2005,0,2005,2446,2005,101985,2005,12266
2004,718,2004,220,2004,12,2004,5941,2004,19838,2004,13204,2004,2,2004,153,2004,38,2004,6175,2004,1037,2004,1614,2004,687,2004,15136,2004,0,2004,911,2004,72360,2004,4360
2003,714,2003,203,2003,12,2003,6010,2003,18663,2003,13730,2003,2,2003,168,2003,27,2003,3711,2003,988,2003,1719,2003,740,2003,10963,2003,0,2003,888,2003,84474,2003,4322
2002,673,2002,156,2002,10,2002,5937,2002,25585,2002,10842,2002,2,2002,175,2002,30,2002,4551,2002,470,2002,92,2002,616,2002,2989,2002,0,2002,851,2002,72173,2002,4164
2001,671,2001,143,2001,10,2001,9084,2001,21247,2001,9836,2001,2,2001,184,2001,33,2001,3773,2001,747,2001,0,2001,440,2001,574,2001,0,2001,939,2001,98954,2001,4846
2000,671,2000,129,2000,9,2000,10314,2000,20255,2000,11740,2000,2,2000,196,2000,36,2000,2509,2000,28,2000,0,2000,391,2000,575,2000,0,2000,1350,2000,92142,2000,5594
1999,671,1999,129,1999,9,1999,11967,1999,20294,1999,9513,1999,2,1999,214,1999,39,1999,114,1999,0,1999,0,1999,316,1999,576,1999,0,1999,1270,1999,92999,1999,5248
1998,649,1998,114,1998,0,1998,13688,1998,17818,1998,11077,1998,2,1998,227,1998,42,1998,21,1998,0,1998,0,1998,330,1998,576,1998,0,1998,1232,1998,89420,1998,5092
1997,649,1997,110,1997,0,1997,14101,1997,25362,1997,11630,1997,2,1997,230,1997,43,1997,0,1997,0,1997,0,1997,270,1997,578,1997,0,1997,1401,1997,96911,1997,5909
1996,649,1996,103,1996,0,1996,12737,1996,27877,1996,14735,1996,2,1996,238,1996,45,1996,0,1996,0,1996,0,1996,147,1996,581,1996,0,1996,1297,1996,95062,1996,7257
1995,649,1995,97,1995,0,1995,8234,1995,24527,1995,12299,1995,2,1995,235,1995,38,1995,0,1995,0,1995,0,1995,345,1995,583,1995,0,1995,1473,1995,86117,1995,7116
1994,649,1994,91,1994,0,1994,9256,1994,22987,1994,11818,1994,2,1994,219,1994,31,1994,0,1994,0,1994,0,1994,344,1994,0,1994,0,1994,1686,1994,83460,1994,6849
1993,649,1993,98,1993,0,1993,8118,1993,25634,1993,11485,1993,2,1993,218,1993,31,1993,0,1993,0,1993,0,1993,0,1993,0,1993,0,1993,1440,1993,78650,1993,6942
1992,649,1992,92,1992,0,1992,6574,1992,24837,1992,13145,1992,2,1992,214,1992,32,1992,0,1992,0,1992,0,1992,0,1992,0,1992,0,1992,1561,1992,83776,1992,5293
1991,649,1991,86,1991,0,1991,7680,1991,26264,1991,11118,1991,2,1991,208,1991,32,1991,0,1991,0,1991,0,1991,0,1991,0,1991,0,1991,2163,1991,81702,1991,5250
1990,649,1990,79,1990,0,1990,6705,1990,20954,1990,13471,1990,2,1990,204,1990,32,1990,0,1990,0,1990,0,1990,0,1990,0,1990,0,1990,2095,1990,81327,1990,5009
1989,649,1989,71,1989,0,1989,7098,1989,15394,1989,13633,1989,2,1989,193,1989,31,1989,0,1989,0,1989,0,1989,0,1989,0,1989,0,1989,2700,1989,107998,1989,11935
1988,0,1988,0,1988,0,1988,8145,1988,15363,1988,10196,1988,0,1988,0,1988,0,1988,-1,1988,1,1988,0,1988,0,1988,0,1988,0,1988,3254,1988,141796,1988,18820
1987,0,1987,0,1987,0,1987,7999,1987,16425,1987,10475,1987,0,1987,0,1987,0,1987,-2,1987,1,1987,0,1987,0,1987,0,1987,0,1987,3120,1987,136416,1987,18024
1986,0,1986,0,1986,0,1986,11904,1986,25264,1986,10979,1986,0,1986,0,1986,0,1986,14,1986,1,1986,0,1986,0,1986,0,1986,0,1986,4315,1986,136453,1986,20438
1985,0,1985,0,1985,0,1985,11157,1985,26594,1985,11052,1985,0,1985,0,1985,0,1985,30,1985,1,1985,0,1985,0,1985,0,1985,0,1985,3811,1985,191170,1985,13998
1984,0,1984,0,1984,0,1984,13423,1984,24411,1984,11879,1984,0,1984,0,1984,0,1984,29,1984,0,1984,0,1984,0,1984,0,1984,0,1984,3745,1984,191056,1984,13740
1983,0,1983,0,1983,0,1983,12097,1983,26886,1983,11672,1983,0,1983,0,1983,0,1983,12,1983,0,1983,0,1983,0,1983,0,1983,0,1983,3669,1983,190770,1983,11717
1982,0,1982,0,1982,0,1982,8883,1982,25315,1982,11691,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,3359,1982,170116,1982,14112
1981,0,1981,0,1981,0,1981,8790,1981,22386,1981,11392,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,3327,1981,174255,1981,10629
1980,0,1980,0,1980,0,1980,11511,1980,21970,1980,11571,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,2739,1980,165342,1980,11850
1979,0,1979,0,1979,0,1979,10905,1979,23745,1979,12754,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,3000,1979,69131,1979,21121
1978,0,1978,0,1978,0,1978,10178,1978,24563,1978,9579,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,2596,1978,66214,1978,17673
1977,0,1977,0,1977,0,1977,7951,1977,19003,1977,9840,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,1986,1977,55515,1977,14479
1976,0,1976,0,1976,0,1976,10822,1976,17132,1976,10643,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,1725,1976,52438,1976,14116
1975,0,1975,0,1975,0,1975,11657,1975,21193,1975,11058,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,1569,1975,44874,1975,11740
1974,0,1974,0,1974,0,1974,14734,1974,21096,1974,11985,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,1462,1974,44525,1974,11795
1973,0,1973,0,1973,0,1973,12562,1973,25389,1973,12214,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,1462,1973,42430,1973,12015
1972,0,1972,0,1972,0,1972,12167,1972,25043,1972,12937,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,1324,1972,40603,1972,11834
1971,0,1971,0,1971,0,1971,13748,1971,23363,1971,12012,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,1583,1971,38430,1971,10269
1970,0,1970,0,1970,0,1970,10562,1970,19980,1970,10449,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,1566,1970,38333,1970,10703
1969,0,1969,0,1969,0,1969,11460,1969,22542,1969,9946,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,1532,1969,40262,1969,11484
1968,0,1968,0,1968,0,1968,9976,1968,24866,1968,9948,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,1584,1968,40963,1968,11625
1967,0,1967,0,1967,0,1967,8229,1967,21620,1967,10950,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,1412,1967,39383,1967,11521
1966,0,1966,0,1966,0,1966,9608,1966,21371,1966,7989,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,1497,1966,39521,1966,12112
1965,0,1965,0,1965,0,1965,9243,1965,22276,1965,8657,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,1550,1965,39414,1965,11903
1964,0,1964,0,1964,0,1964,9147,1964,16029,1964,9462,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,1466,1964,38951,1964,12204
1963,0,1963,0,1963,0,1963,9211,1963,16253,1963,8400,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,1430,1963,38860,1963,12629
1962,0,1962,0,1962,0,1962,10298,1962,22565,1962,10971,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,1448,1962,39130,1962,12784
1961,0,1961,0,1961,0,1961,6737,1961,21486,1961,11101,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,1536,1961,39133,1961,12565
1960,0,1960,0,1960,0,1960,6552,1960,25814,1960,10097,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,1623,1960,39155,1960,13367
