"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,1868,2015,648,2015,213,2015,2478,2015,45202,2015,23897,2015,89288,2015,8913,2015,10,2015,140,2015,1294,2015,6397,2015,23274,2015,0,2015,427,2015,417802,2015,151078,2015,328,2015,23674,2015,65682,2015,2968,2015,103604,2015,66953,2015,81397
2014,1868,2014,648,2014,213,2014,2478,2014,52288,2014,24432,2014,84645,2014,3670,2014,9,2014,117,2014,856,2014,4816,2014,22218,2014,0,2014,486,2014,380449,2014,141858,2014,299,2014,24477,2014,59187,2014,2811,2014,111503,2014,68140,2014,94839
2013,1868,2013,648,2013,213,2013,2478,2013,38761,2013,30152,2013,118721,2013,4580,2013,6,2013,58,2013,713,2013,3222,2013,25643,2013,0,2013,446,2013,342270,2013,139151,2013,333,2013,24386,2013,52711,2013,2796,2013,103108,2013,65498,2013,95268
2012,1868,2012,648,2012,213,2012,2478,2012,56915,2012,13515,2012,78942,2012,5562,2012,6,2012,53,2012,173,2012,2419,2012,22399,2012,0,2012,452,2012,306550,2012,133924,2012,1684,2012,23094,2012,54901,2012,2268,2012,103813,2012,63503,2012,89764
2011,1962,2011,605,2011,199,2011,2488,2011,64205,2011,15100,2011,93037,2011,5471,2011,5,2011,47,2011,55,2011,1280,2011,25925,2011,0,2011,516,2011,296805,2011,139376,2011,1152,2011,25335,2011,48518,2011,2630,2011,100601,2011,59812,2011,91010
2010,1716,2010,624,2010,205,2010,2316,2010,51110,2010,23185,2010,79392,2010,12310,2010,5,2010,38,2010,50,2010,854,2010,13383,2010,0,2010,396,2010,256109,2010,141391,2010,81,2010,23766,2010,32910,2010,2331,2010,91442,2010,62674,2010,85437
2009,1576,2009,554,2009,182,2009,2057,2009,43261,2009,22760,2009,99669,2009,10040,2009,5,2009,35,2009,34,2009,622,2009,4109,2009,0,2009,505,2009,195455,2009,128285,2009,41,2009,23679,2009,32475,2009,2149,2009,79646,2009,55166,2009,64157
2008,1456,2008,444,2008,146,2008,1699,2008,29494,2008,11067,2008,55636,2008,10243,2008,4,2008,31,2008,37,2008,550,2008,1430,2008,0,2008,494,2008,159881,2008,110374,2008,4535,2008,12895,2008,34592,2008,1690,2008,80466,2008,66232,2008,100010
2007,933,2007,372,2007,123,2007,1486,2007,28834,2007,15379,2007,48823,2007,16254,2007,4,2007,24,2007,36,2007,519,2007,1483,2007,0,2007,494,2007,89019,2007,82896,2007,3959,2007,10540,2007,5628,2007,1535,2007,79223,2007,56421,2007,84487
2006,867,2006,307,2006,101,2006,1296,2006,33693,2006,17923,2006,76859,2006,6566,2006,4,2006,19,2006,35,2006,507,2006,1478,2006,0,2006,542,2006,66165,2006,77384,2006,1641,2006,8821,2006,2027,2006,1408,2006,80361,2006,57156,2006,77699
2005,813,2005,265,2005,87,2005,1161,2005,30743,2005,29379,2005,93086,2005,13324,2005,3,2005,19,2005,29,2005,501,2005,1581,2005,0,2005,33,2005,42368,2005,59036,2005,0,2005,8797,2005,784,2005,1547,2005,74542,2005,65041,2005,80163
2004,706,2004,232,2004,76,2004,1007,2004,36033,2004,24508,2004,104248,2004,13027,2004,3,2004,20,2004,34,2004,518,2004,1579,2004,0,2004,38,2004,31427,2004,43642,2004,0,2004,9207,2004,0,2004,1794,2004,72671,2004,71581,2004,74834
2003,637,2003,213,2003,70,2003,914,2003,43298,2003,37112,2003,121537,2003,9077,2003,3,2003,21,2003,39,2003,532,2003,448,2003,0,2003,40,2003,26020,2003,21498,2003,0,2003,10023,2003,0,2003,1755,2003,66449,2003,58291,2003,78914
2002,511,2002,164,2002,54,2002,694,2002,44290,2002,14138,2002,81116,2002,11429,2002,3,2002,22,2002,44,2002,535,2002,61,2002,0,2002,41,2002,27021,2002,8657,2002,0,2002,8443,2002,0,2002,1677,2002,66314,2002,63522,2002,81349
