date,1,2,3,4,5
2013-10-31,0.0034807017505827983,0.017490857158013757,0.008331874790241185,0.0201175931581185,0.0456644572436232
2013-11-29,0.0034545938324402285,0.017567074255536826,0.008230530310884191,0.02023223663288834,0.0456091868954604
2013-12-31,0.003421604655869401,0.017645949368965873,0.007984884542950637,0.020072478506876792,0.04593902041795484
2014-01-31,0.0031352470848054403,0.014915430472095046,0.009546812481214582,0.016310825419412447,0.05704636579059393
2014-02-28,0.0031295739636439668,0.014883114296000971,0.009430948269676026,0.016338206050318094,0.05716125224732858
2014-03-31,0.003113321612452841,0.015154679770243613,0.009401741291442205,0.016118273373369924,0.057152158081635616
2014-04-30,0.003066485231285271,0.01505822854250587,0.00935833173022115,0.016167608308270076,0.057285179360739805
2014-05-30,0.003206946033070167,0.014952992976924822,0.009174203891588897,0.016346422901137518,0.05723685458643753
2014-06-30,0.003212442418212317,0.015216220867837874,0.009084647189749682,0.016104828026509647,0.05729032621666548
2014-07-31,0.0033650942882474965,0.01510090720608472,0.009035298245032485,0.01604498364774364,0.05735724643739491
2014-08-29,0.003338897843049774,0.01506610730841513,0.009057523523165899,0.016046720703285028,0.05739650297440073
2014-09-30,0.0032419656153032496,0.015078053872876385,0.008973758251567819,0.016009597795851226,0.05759400028955811
2014-10-31,0.0031950312609832694,0.015351531186360975,0.008839500488810265,0.015949827322807024,0.057548059789919545
2014-11-28,0.003216355429410947,0.015291421829453061,0.008853339373941142,0.01609469231661918,0.05742952498796977
2014-12-31,0.003235897323893602,0.015382295531991141,0.008742334496590157,0.01613544179202888,0.057378264305155205
2015-01-30,0.00401670680093019,0.014069620559130646,0.008454284604343588,0.021262745594041142,0.05304207090198879
2015-02-27,0.004171639259549128,0.01401800542022002,0.008536617794057073,0.021397816227454007,0.05272958307812549
2015-03-31,0.004087030205459254,0.0142880926319049,0.008376933754007854,0.021030603214268844,0.0530550335697599
2015-04-30,0.004055483288639468,0.014412331107227084,0.00847350109497727,0.02099405311498471,0.0529119815036692
2015-05-29,0.004128601576902078,0.01451253809973083,0.008506930034277008,0.020524073666647425,0.0531785496258703
2015-06-30,0.004130511017665368,0.014730607707978027,0.008417889428184137,0.020224337802681746,0.053338442986309166
2015-07-31,0.004142798017526981,0.014881489672085612,0.008507356851721078,0.02021313325302541,0.05310595789081294
2015-08-31,0.004172503891234707,0.014772785623432053,0.008514658846807405,0.02029605289104376,0.053095464632162824
2015-09-30,0.0041510870696871765,0.014929878063116186,0.008419616592266307,0.02028386012542775,0.05305751980872919
2015-10-30,0.00409792382269846,0.014839934001056895,0.008596646432048462,0.02042397079372853,0.052901189593672515
2015-11-30,0.004026023582201046,0.014916977438619961,0.008636444618520667,0.020383780164300806,0.05290041865820953
2015-12-31,0.004136997516439192,0.014840861331673028,0.008637654689639474,0.020107198554474768,0.053141053376737434
2016-01-29,0.004074049099868983,0.005837310712169218,0.024411959038095992,0.014994658212829342,0.05312321884084605
2016-02-29,0.004079537364762906,0.005915601184207291,0.024663951555894983,0.01495330050317612,0.05285400454754817
2016-03-31,0.004018761665785404,0.005963595135690175,0.02435876970909491,0.0147613054319105,0.05333344502842846
2016-04-29,0.0037894734750376787,0.0059244334985781,0.02432094767997126,0.014705982104334842,0.05369125801007525
2016-05-31,0.0037179380554755205,0.005959405671815505,0.024531644433984527,0.014678050150803392,0.05356612613131948
2016-06-30,0.003674288070653114,0.006004425746009397,0.02431436527193201,0.014731083219846253,0.05370727421875242
2016-07-29,0.003716618477728215,0.005997218510259667,0.024354761024771483,0.014921021631319035,0.05344585645839878
2016-08-31,0.0037015228786497767,0.006057378361890446,0.024382778176736817,0.015076588958590162,0.05322000944180651
2016-09-30,0.003690026256240572,0.005999253595144681,0.02411285964458466,0.014808285275504063,0.05380086119298448
2016-10-31,0.0036320905043096706,0.005996760740894346,0.023905808919091755,0.014997545533694529,0.05385837519391891
2016-11-30,0.0035472664953814744,0.006089502949149906,0.024185195140657464,0.014999671685853588,0.05359688324302327
2016-12-30,0.0034278021197768037,0.005954070826937265,0.024152144070381045,0.015166000877891717,0.05371519651205122
2017-01-31,0.003149763157098739,0.008011543237604914,0.02287950630179523,0.014658958834706285,0.05358817909897423
2017-02-28,0.0031664818686349865,0.008024060972215948,0.022899060639007273,0.014624865348641995,0.05357543723540048
2017-03-31,0.0031559052597020703,0.007972037674739715,0.022398533755291123,0.014573109724926949,0.054140266960869224
2017-04-28,0.003177669989097645,0.00789484027160337,0.022372650484495143,0.014545416072452275,0.05424668823080099
2017-05-31,0.003171427662407203,0.007763550129808205,0.022305884393001643,0.014583399922762688,0.054406326331320386
2017-06-30,0.0032537206631108708,0.007929873363954012,0.022390272655729054,0.014238294194656779,0.05442686638812215
2017-07-31,0.003273527403028692,0.008049025960194226,0.02241573578037749,0.014178819621319191,0.054324464813118103
2017-08-31,0.0032828463235804162,0.008011918284973243,0.02234971697858681,0.014080862011790813,0.05450962809892738
2017-09-29,0.003252460253561678,0.008069669455486244,0.022150401066321546,0.014027459365673178,0.05471504996558955
2017-10-31,0.003229465138510243,0.00795852478247402,0.02242384939407386,0.014177487407737865,0.05445305821661132
2017-11-30,0.0032189293149384097,0.007729332335300562,0.022249111345743068,0.014854243020943892,0.05417329511764833
2017-12-29,0.003710782570597601,0.008241075536167127,0.020500070846914707,0.015643753728449818,0.0542928002443324
2018-01-31,0.003695364843333279,0.00781575541927117,0.02117433867411855,0.014892457992092229,0.05453951693859664
2018-02-28,0.0036708373337626166,0.007917477391445512,0.021198827121706666,0.014962260785241686,0.05437048008001416
