Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2015,269098,2015,3918554,2015,154472,2015,540162,2015,172315,2015,2825455,2015,426053,2015,1503633,2015,149447,2015,1101177,2015,89392,2015,1730307,2015,158293,2015,3911912,2015,168598,2015,424753,2015,73197,2015,1424142,2015,88991,2015,1468267,2015,239258,2015,2826466,2015,277535,2015,1812494
2014,277044,2014,4084335,2014,155755,2014,524951,2014,162295,2014,2909853,2014,404375,2014,1537981,2014,151508,2014,1133044,2014,96630,2014,1779648,2014,173371,2014,3940900,2014,164143,2014,415035,2014,77495,2014,1426327,2014,87254,2014,1452645,2014,221304,2014,2909614,2014,273267,2014,1938706
2013,268251,2013,4006850,2013,140525,2013,530412,2013,157597,2013,2870466,2013,388530,2013,1520813,2013,132858,2013,1096103,2013,96462,2013,1841380,2013,151597,2013,3919365,2013,168346,2013,414233,2013,78471,2013,1414742,2013,82502,2013,1442643,2013,208820,2013,2865433,2013,245285,2013,1885397
2012,242382,2012,3841685,2012,156601,2012,514005,2012,144693,2012,2740919,2012,370567,2012,1439121,2012,90047,2012,1067837,2012,80331,2012,1900201,2012,130785,2012,4007587,2012,162610,2012,401650,2012,71426,2012,1392231,2012,73317,2012,1374483,2012,179614,2012,2714822,2012,246588,2012,1812145
2011,233919,2011,3965354,2011,177760,2011,521106,2011,156051,2011,2823771,2011,353478,2011,1507155,2011,81476,2011,1097062,2011,90459,2011,1934148,2011,135127,2011,4137763,2011,166773,2011,418074,2011,80337,2011,1433175,2011,77285,2011,1409434,2011,176640,2011,2818530,2011,241624,2011,1849738
2010,216386,2010,3981178,2010,132246,2010,523119,2010,148291,2010,2852081,2010,335054,2010,1498072,2010,75258,2010,1109761,2010,84515,2010,2002995,2010,134463,2010,4124887,2010,163928,2010,418056,2010,71897,2010,1486511,2010,75296,2010,1431258,2010,160226,2010,2780077,2010,224989,2010,1855904
2009,186177,2009,3859234,2009,136273,2009,502530,2009,118682,2009,2712923,2009,289408,2009,1448521,2009,66668,2009,1088231,2009,85039,2009,1930522,2009,119238,2009,4035500,2009,153514,2009,413101,2009,66647,2009,1455444,2009,69073,2009,1375637,2009,149750,2009,2690321,2009,203855,2009,1786176
2008,160655,2008,4083961,2008,132857,2008,537298,2008,99311,2008,2917143,2008,213180,2008,1441784,2008,58223,2008,1119535,2008,71481,2008,2008086,2008,114723,2008,4228087,2008,186763,2008,455348,2008,60165,2008,1466520,2008,60565,2008,1435835,2008,158418,2008,2915379,2008,179586,2008,1913253
2007,130915,2007,4081334,2007,127411,2007,541391,2007,67602,2007,2958525,2007,176851,2007,1378607,2007,36181,2007,1157469,2007,65820,2007,2044160,2007,151977,2007,4286897,2007,156513,2007,450333,2007,58135,2007,1505960,2007,59620,2007,1458176,2007,140683,2007,3022749,2007,153230,2007,1896785
2006,109457,2006,3991822,2006,147673,2006,526508,2006,55594,2006,2859709,2006,142841,2006,1303065,2006,28423,2006,1095718,2006,70058,2006,2009346,2006,150707,2006,4026180,2006,152966,2006,427755,2006,59415,2006,1482301,2006,62218,2006,1432786,2006,130017,2006,3046605,2006,129807,2006,1843501
2005,109786,2005,4140656,2005,122267,2005,514313,2005,63826,2005,2924177,2005,124866,2005,1278342,2005,22986,2005,1067023,2005,74724,2005,2018197,2005,151854,2005,3854682,2005,160078,2005,447801,2005,48562,2005,1596813,2005,46956,2005,1503542,2005,130906,2005,3215169,2005,123801,2005,1871803
2004,126589,2004,3993440,2004,112080,2004,503534,2004,58085,2004,2930253,2004,111271,2004,1247169,2004,19571,2004,1121296,2004,71188,2004,1998031,2004,189772,2004,4011693,2004,136776,2004,443142,2004,53460,2004,1570234,2004,51782,2004,1498063,2004,118153,2004,3164951,2004,114862,2004,1863445
2003,127073,2003,3945574,2003,108868,2003,471950,2003,57491,2003,2937199,2003,93652,2003,1192800,2003,21917,2003,1140145,2003,70509,2003,1923756,2003,152633,2003,3809616,2003,132348,2003,430431,2003,54160,2003,1590449,2003,50420,2003,1499087,2003,112635,2003,3202233,2003,107570,2003,1863727
2002,111585,2002,3920039,2002,113189,2002,498672,2002,55332,2002,2856081,2002,85207,2002,1197176,2002,19560,2002,1099484,2002,65077,2002,1989605,2002,144121,2002,3958145,2002,140389,2002,430762,2002,41124,2002,1539539,2002,46805,2002,1533530,2002,99500,2002,3161372,2002,104032,2002,1785661
2001,100876,2001,3905501,2001,104604,2001,503420,2001,53158,2001,2770456,2001,76705,2001,1167631,2001,10929,2001,1063914,2001,53539,2001,1832560,2001,136129,2001,3823437,2001,146148,2001,426028,2001,33276,2001,1451217,2001,48004,2001,1516968,2001,99025,2001,3104288,2001,108048,2001,1720944
2000,97688,2000,4029159,2000,141037,2000,544380,2000,48674,2000,2867279,2000,80729,2000,1196131,2000,9920,2000,1116109,2000,36286,2000,1802618,2000,142352,2000,4330579,2000,163025,2000,463343,2000,54124,2000,1459886,2000,69462,2000,1535714,2000,118368,2000,3225008,2000,104646,2000,1749107
